"latitude","longitude","count"
"28.4738","-81.4673","207"
"28.4324","-81.4697","242"
"29.9919","-81.4710","14"
"41.1100","-81.4711","12"
"35.2695","-81.4827","15"
"40.9774","-81.4834","35"
"27.4899","-81.4869","15"
"31.2178","-81.4881","105"
"41.4552","-81.4884","61"
"41.1534","-81.4946","72"
"30.3241","-81.4968","148"
"30.1003","-81.5130","180"
"41.0857","-81.5156","4"
"41.3126","-81.5156","97"
"28.5542","-81.5156","102"
"28.3698","-81.5197","595"
"41.6111","-81.5233","1"
"40.7991","-81.5274","12"
"28.5487","-81.5425","73"
"41.0966","-81.5441","2"
"30.6235","-81.5452","48"
